Title,Date
"Dentro da Mente de um Gato","23/08/2022"
"A Estrela de Belém","05/08/2022"
"La Bamba","24/07/2022"
"Arremesso Final: Episódio 3","17/07/2022"
"Arremesso Final: Episódio 2","17/07/2022"
"Arremesso Final: Episódio 1","17/07/2022"
"Arremesso Final: Episódio 4","17/07/2022"
"Stranger Things: Stranger Things 4: Capítulo um: O Clube Hellfire","08/07/2022"
"Stranger Things: Capítulo um: O desaparecimento de Will Byers","08/07/2022"
"Arremessando Alto","02/07/2022"
"Cobra Kai: Temporada 3: Rei Cobra","02/07/2022"
"O Poder e a Lei: Temporada 1: Doze lêmingues em uma caixa","17/06/2022"
"O Poder e a Lei: Temporada 1: Teoria do caos","17/06/2022"
"O Poder e a Lei: Temporada 1: Ímpeto","17/06/2022"
"O Poder e a Lei: Temporada 1: A bala mágica","17/06/2022"
"Segunda Guerra em Cores: Caminho para a Vitória: Batalha de Kursk","12/06/2022"
"Segunda Guerra em Cores: Caminho para a Vitória: Ocupação do Norte da África","12/06/2022"
"Segunda Guerra em Cores: Caminho para a Vitória: Batalha do Atlântico","12/06/2022"
"Segunda Guerra em Cores: Caminho para a Vitória: Dunquerque","12/06/2022"
"O Poder e a Lei: Temporada 1: De volta à montaria","05/06/2022"
"O Soldado que Não Existiu","14/05/2022"
"Cobra Kai: Temporada 3: Miyagi-Do","14/05/2022"
"Cirurgiões Inovadores: Cérebro sagrado","08/05/2022"
"Cirurgiões Inovadores: Salvando a vida antes do nascimento","08/05/2022"
"3 Tonelada$: Assalto ao Banco Central: Dinheiro Maldito","08/05/2022"
"Cobra Kai: Temporada 3: O caminho certo","08/05/2022"
"Cobra Kai: Temporada 3: Vai ter que pagar","08/05/2022"
"Cobra Kai: Temporada 3: Treinamento ou dom inato?","07/05/2022"
"Cobra Kai: Temporada 3: Consequências","07/05/2022"
"Cobra Kai: Temporada 2: Sem compaixão","07/05/2022"
"Cobra Kai: Temporada 2: Polvo","29/04/2022"
"Cobra Kai: Temporada 2: A vez do amor","29/04/2022"
"Cobra Kai: Temporada 2: Trégua","29/04/2022"
"Cobra Kai: Temporada 2: Vire à direita","29/04/2022"
"Winter on Fire: Ukraine's Fight for Freedom","23/04/2022"
"Cobra Kai: Temporada 2: Vai com tudo","16/04/2022"
"Cobra Kai: Temporada 2: Momento da verdade","16/04/2022"
"Cobra Kai: Temporada 2: Fogo e gelo","16/04/2022"
"Cobra Kai: Temporada 2: Em busca do equilíbrio","16/04/2022"
"Cobra Kai: Temporada 2: Compaixão – Parte 2","16/04/2022"
"Cobra Kai: Temporada 1: Compaixão – Parte 1","15/04/2022"
"Cobra Kai: Temporada 1: Diferentes, mas iguais","15/04/2022"
"Cobra Kai: Temporada 1: Transformação","15/04/2022"
"De Volta ao Espaço","09/04/2022"
"História: Direto ao Assunto: Temporada 1: Robôs","09/04/2022"
"A Beleza Secreta dos Animais: Temporada 2: Golfinhos","02/04/2022"
"A Beleza Secreta dos Animais: Temporada 2: Ursos","02/04/2022"
"A Beleza Secreta dos Animais: Temporada 2: Aves de rapina","02/04/2022"
"A Beleza Secreta dos Animais: Temporada 2: Primatas","02/04/2022"
"3 Tonelada$: Assalto ao Banco Central: A Caçada","20/03/2022"
"Bebês em Foco: Parte 2: Relações","20/03/2022"
"3 Tonelada$: Assalto ao Banco Central: O Crime","19/03/2022"
"Indústria Americana","12/03/2022"
"O Bombardeio","12/03/2022"
"Getúlio","01/03/2022"
"Coded Bias","01/03/2022"
"Milagres do Paraíso","18/02/2022"
"Comer Rezar Amar","18/02/2022"
"Amor para Recomeçar: Temporada 1: Disponível","17/02/2022"
"Amor para Recomeçar: Temporada 1: Contas a pagar","17/02/2022"
"Amor para Recomeçar: Temporada 1: Vamos voltar","17/02/2022"
"A Magia dos Andes: Temporada 2: Peru e Equador","17/02/2022"
"A Magia dos Andes: Temporada 2: Venezuela e Colômbia","17/02/2022"
"Cuba e o Cameraman","09/02/2022"
"Bebês em Foco: Parte 2: Crianças pequenas","30/01/2022"
"Bebês em Foco: Parte 2: Natureza e criação","30/01/2022"
"Farol das Orcas","23/01/2022"
"A Incrível História da Ilha das Rosas","21/01/2022"
"Ressurreição","08/01/2022"
"Imperdoável","17/12/2021"
"Missa da Meia-Noite: Minissérie: Livro VII: Apocalipse","30/10/2021"
"Missa da Meia-Noite: Minissérie: Livro VI: Atos dos Apóstolos","28/10/2021"
"Missa da Meia-Noite: Minissérie: Livro V: Os Evangelhos","27/10/2021"
"Missa da Meia-Noite: Minissérie: Livro IV: Lamentações","27/10/2021"
"Missa da Meia-Noite: Minissérie: Livro III: Provérbios","25/10/2021"
"Missa da Meia-Noite: Minissérie: Livro II: Salmos","24/10/2021"
"Missa da Meia-Noite: Minissérie: Livro I: Gênesis","24/10/2021"
"O Céu é de Verdade","24/10/2021"
"Schumacher","22/10/2021"
"Chamas do Destino: Episódio 8","15/10/2021"
"Chamas do Destino: Episódio 7","15/10/2021"
"Chamas do Destino: Episódio 6","12/10/2021"
"Chamas do Destino: Episódio 5","12/10/2021"
"Chamas do Destino: Episódio 4","12/10/2021"
"Chamas do Destino: Episódio 3","12/10/2021"
"Chamas do Destino: Episódio 2","12/10/2021"
"Chamas do Destino: Episódio 1","12/10/2021"
"Seleção Artificial: Minissérie: Mudar uma espécie inteira","10/10/2021"
"Rotten: Temporada 1: Bafo de alho","10/10/2021"
"Rotten: Temporada 1: Alergia a amendoim","10/10/2021"
"Rotten: Temporada 1: Não tão doce","10/10/2021"
"Rotten: Temporada 2: A guerra do abacate","10/10/2021"
"Virgin River: Temporada 3: Um casamento, nenhum funeral e um bebê","10/10/2021"
"Virgin River: Temporada 3: O sol também se levanta","10/10/2021"
"Virgin River: Temporada 3: Vida e morte","10/10/2021"
"Virgin River: Temporada 3: Divisão","10/10/2021"
"Virgin River: Temporada 3: Jack e Jill","10/10/2021"
"Virgin River: Temporada 3: Kindling","10/10/2021"
"Virgin River: Temporada 3: De tirar o fôlego","02/10/2021"
"Virgin River: Temporada 3: Corações partidos","02/10/2021"
"Seleção Artificial: Minissérie: Os pioneiros","02/10/2021"
"Seleção Artificial: Minissérie: Editando a vida","02/10/2021"
"Virgin River: Temporada 3: Pés grudentos","01/10/2021"
"Virgin River: Temporada 3: Onde há fumaça...","01/10/2021"
"Virgin River: Temporada 2: Emoções fortes","01/10/2021"
"Klaus","26/09/2021"
"O Resgate dos Desejos de Natal","26/09/2021"
"Cidade de Gelo","26/09/2021"
"Andar Montar Rodeio - A Virada de Amberley","26/09/2021"
"Steve Jobs","25/09/2021"
"For Life: Promessas","25/09/2021"
"For Life: Piloto","25/09/2021"
"Fantasmas do Abismo","12/09/2021"
"Virgin River: Temporada 2: Perigos à frente","12/09/2021"
"Virgin River: Temporada 2: Pontos cegos","12/09/2021"
"Virgin River: Temporada 2: Ajuda e dor","12/09/2021"
"Virgin River: Temporada 2: Passado","12/09/2021"
"Virgin River: Temporada 2: Impossível esquecer","12/09/2021"
"Virgin River: Temporada 2: Fofoca","07/09/2021"
"Virgin River: Temporada 2: A manhã seguinte","01/09/2021"
"Virgin River: Temporada 2: Surpresas","01/09/2021"
"Virgin River: Temporada 2: Novos começos","01/09/2021"
"João de Deus - Cura e Crime: Justiça?","01/09/2021"
"Virgin River: Temporada 1: Finais inesperados","29/08/2021"
"Virgin River: Temporada 1: Todo mundo tem segredos","29/08/2021"
"Virgin River: Temporada 1: Fez-se a luz","29/08/2021"
"João de Deus - Cura e Crime: O Processo","29/08/2021"
"João de Deus - Cura e Crime: O Escândalo","29/08/2021"
"Virgin River: Temporada 1: Verdades reveladas","28/08/2021"
"Virgin River: Temporada 1: Folia do Luar","28/08/2021"
"Virgin River: Temporada 1: Sob fogo","28/08/2021"
"Virgin River: Temporada 1: Coração machucado","28/08/2021"
"Virgin River: Temporada 1: Encontrada","28/08/2021"
"João de Deus - Cura e Crime: O Curador","28/08/2021"
"Irmão do Jorel: Temporada 2: Embalos De SáBado À Tarde","15/08/2021"
"Irmão do Jorel: Temporada 2: Mc Juju","15/08/2021"
"Irmão do Jorel: Temporada 2: A Vida Secreta Dos Belezitos","15/08/2021"
"Irmão do Jorel: Temporada 2: Então É Natal","15/08/2021"
"Irmão do Jorel: Temporada 2: Acampamento Brutal","15/08/2021"
"Irmão do Jorel: Temporada 2: A Fantástica Fábrica De Refrigerantes","15/08/2021"
"Irmão do Jorel: Temporada 2: Excursão Alucinante Sem Freio","15/08/2021"
"Irmão do Jorel: Temporada 2: Carlos Felino Conselheiro Amoroso","15/08/2021"
"Virgin River: Temporada 1: Perdidos","11/08/2021"
"Virgin River: Temporada 1: Seguir em frente","11/08/2021"
"Diagnóstico: Questão de confiança","08/08/2021"
"Diagnóstico: Procurando iguais","07/08/2021"
"Diagnóstico: Sabedoria popular","07/08/2021"
"Diagnóstico: Segundas opiniões","07/08/2021"
"Explicando... Dinheiro: Minissérie: Enriqueça rápido","07/08/2021"
"Diagnóstico: Trabalho de detetive","07/08/2021"
"A Indústria da Cura: Veneno do bem","01/08/2021"
"Explicando: Temporada 2: Diamantes","01/08/2021"
"Explicando: Temporada 2: Beleza","01/08/2021"
"Explicando: Temporada 2: O futuro da carne","01/08/2021"
"Explicando: Temporada 2: A próxima pandemia","01/08/2021"
"O Código Da Vinci","01/08/2021"
"Milagre na Cela 7","01/08/2021"
"Bebês em Foco: Parte 2: Sentidos","31/07/2021"
"Bebês em Foco: Parte 2: Movimento","31/07/2021"
"Bebês em Foco: Parte 2: O que os bebês sabem","31/07/2021"
